Wavelength (nm),A3 Abs,B1 Abs,A3 Transmittance,A3 Transmittance (%),B1 Transmittance,B1 Transmittance (%)
880.0320435,0.07700385153,0.1475588232,0.8375218545518462,83.75218545518463,0.7119363649460927,71.19363649460927
881.1430054,0.07722879946,0.1476361305,0.837088162593752,83.7088162593752,0.7118096468269918,71.18096468269918
882.2540283,0.07742257416,0.1477192044,0.8367147516183714,83.67147516183714,0.7116735015370033,71.16735015370033
883.3649902,0.07746982574,0.1477105916,0.8366237213498103,83.66237213498103,0.7116876153758133,71.16876153758133
884.4760132,0.07763256878,0.1477136761,0.8363102723284557,83.63102723284557,0.7116825607579316,71.16825607579315
885.5870361,0.07775259018,0.1477498412,0.8360791819845319,83.60791819845319,0.7116232991268627,71.16232991268627
886.697998,0.07778572291,0.14774023,0.8360153991590838,83.60153991590839,0.7116390479558713,71.16390479558713
887.809021,0.07800260931,0.1477534026,0.8355979978111128,83.55979978111128,0.711617463536194,71.1617463536194
888.9200439,0.07813391834,0.1477705985,0.8353453927662954,83.53453927662954,0.7115892875841752,71.15892875841752
890.0310059,0.07836875319,0.1479988992,0.8348938208698226,83.48938208698226,0.7112153163583153,71.12153163583153
891.1420288,0.07860485464,0.148099944,0.8344400594747329,83.44400594747329,0.711049861228494,71.1049861228494
892.2529907,0.07895610482,0.1482961029,0.8337654510254944,83.37654510254944,0.7107287720371448,71.07287720371448
893.3640137,0.07917361706,0.1484052092,0.8333479721228912,83.33479721228912,0.7105502405337809,71.05502405337809
894.4750366,0.07945071906,0.1485834271,0.8328164232662211,83.2816423266221,0.7102587176203877,71.02587176203878
895.5859985,0.07991017401,0.1488150209,0.8319358242473797,83.19358242473797,0.7098800628796367,70.98800628796367
896.6970215,0.08019080013,0.1490008235,0.8313984296440151,83.13984296440151,0.7095764224783268,70.95764224783268
897.8080444,0.08059681207,0.1493922472,0.830621537546408,83.0621537546408,0.7089371790295229,70.89371790295229
898.9190063,0.08111163974,0.1497950852,0.8296374734910598,82.96374734910597,0.7082798959245143,70.82798959245143
900.0300293,0.08169797063,0.1503362805,0.8285181549661533,82.85181549661533,0.7073978238961319,70.7397823896132
901.1409912,0.08243667334,0.1510466933,0.8271101048545582,82.71101048545582,0.7062416184038826,70.62416184038825
902.2520142,0.08312489837,0.1515591592,0.825800424202619,82.5800424202619,0.7054087473666212,70.54087473666212
903.3630371,0.08404316753,0.152420029,0.8240562023010699,82.40562023010699,0.7040118527669593,70.40118527669593
904.473999,0.08477500826,0.1530931294,0.8226687334934322,82.26687334934321,0.7029215703666774,70.29215703666773
