wavelength_nm,lamp_response,raw_pl_counts,intensity_arb_u
1127.5,1765.85884,256.0,0.14497
1128.0,1767.53599,281.0,0.15898
1128.5,1769.96552,287.0,0.16215
1129.0,1772.13537,275.0,0.15518
1129.5,1774.60844,278.0,0.15665
1130.0,1777.31015,279.0,0.15698
1130.5,1778.36053,290.0,0.16307
1131.0,1780.69172,298.0,0.16735
1131.5,1783.92961,280.0,0.15696
1132.0,1785.85282,284.0,0.15903
1132.5,1787.25062,177.0,0.09903
1133.0,1789.29157,269.0,0.15034
1133.5,1791.78813,291.0,0.16241
1134.0,1794.06121,281.0,0.15663
1134.5,1795.5812,292.0,0.16262
1135.0,1797.33006,273.0,0.15189
1135.5,1799.68672,277.0,0.15392
1136.0,1802.4251,261.0,0.1448
1136.5,1804.93959,195.0,0.10804
1137.0,1807.57106,62.0,0.0343
1137.5,1809.75056,149.0,0.08233
1138.0,1812.08472,277.0,0.15286
1138.5,1812.06632,285.0,0.15728
1139.0,1814.97521,217.0,0.11956
1139.5,1816.82267,275.0,0.15136
1140.0,1821.37517,70.0,0.03843
1140.5,1824.7908,254.0,0.13919
1141.0,1826.00016,276.0,0.15115
1141.5,1828.81293,275.0,0.15037
1142.0,1831.2095,267.0,0.14581
1142.5,1833.26547,213.0,0.11619
1143.0,1834.1777,295.0,0.16084
1143.5,1834.4793,261.0,0.14227
1144.0,1837.15354,291.0,0.1584
1144.5,1839.71637,165.0,0.08969
1145.0,1840.29031,286.0,0.15541
1145.5,1842.43677,276.0,0.1498
1146.0,1845.35323,279.0,0.15119
1146.5,1846.73803,255.0,0.13808
1147.0,1848.31667,169.0,0.09143
1147.5,1850.12797,231.0,0.12486
1148.0,1851.48009,269.0,0.14529
1148.5,1852.48759,281.0,0.15169
1149.0,1855.26787,212.0,0.11427
1149.5,1857.66641,186.0,0.10013
1150.0,1858.8727,217.0,0.11674
1150.5,1861.62396,235.0,0.12623
1151.0,1862.91161,178.0,0.09555
1151.5,1864.54866,167.0,0.08957
1152.0,1864.95069,174.0,0.0933
1152.5,1867.17149,171.0,0.09158
1153.0,1868.62095,298.0,0.15948
1153.5,1869.83989,292.0,0.15616
1154.0,1872.02946,176.0,0.09402
1154.5,1873.71767,297.0,0.15851
1155.0,1878.0085,260.0,0.13844
1155.5,1877.37256,255.0,0.13583
1156.0,1879.76711,244.0,0.1298
1156.5,1879.67593,214.0,0.11385
1157.0,1881.25793,193.0,0.10259
1157.5,1883.38716,261.0,0.13858
1158.0,1884.62299,209.0,0.1109
