wl_nm,n,k,alpha_abs_percm,alpha_scat_percm,alphad_abs,alphad_scat,yag_ref_n,T_model,T_meas,s12_model,s12_meas,s33_model,s33_meas,s34_model,s34_meas
546.0,1.8356021344246258,3.390431724208904e-211,7.803190767232576e-206,3.7496784944514747,7.803190767232577e-207,0.3749678494451475,1.836574311416729,0.5751740327278869,0.58119,-0.9966569774164737,-1.001125,-0.08067074299151414,-0.085325,5.360528893839934e-19,0.002275
547.0,1.8354896866124344,1.4328551830730388e-209,3.291734783766228e-204,3.7489293887080577,3.291734783766228e-205,0.37489293887080577,1.8364730345034106,0.5752374160177917,0.58116,-0.9966638777771397,-1.0012599999999998,-0.08058766040418666,-0.085185,-5.423106538988222e-19,0.0025599999999999998
548.0,1.8353778791084698,5.885266665314554e-208,1.3495701109612487e-202,3.748181800440666,1.3495701109612486e-203,0.3748181800440666,1.8363723100622857,0.5753006038214378,0.58142,-0.9966707323049925,-1.00112,-0.0805050434518468,-0.084975,6.3581039909768975e-19,0.00238
549.0,1.8352667069401827,2.3499000510016002e-206,5.3788187518374555e-201,3.747435723814604,5.378818751837456e-202,0.3747435723814604,1.8362721337960817,0.5753635973063187,0.58174,-0.996677541414076,-1.001115,-0.08042288859534624,-0.0853,1.9728666240028675e-19,0.002105
550.0,1.8351561651836301,9.123340368083868e-205,2.0844959328415622e-199,3.7466911530281917,2.0844959328415623e-200,0.37466911530281916,1.8361725014491597,0.5754263976299421,0.58217,-0.9966843055137468,-1.00087,-0.08034119232924869,-0.084815,-4.271530305384574e-20,0.00253
551.0,1.8350462489629005,3.444930450310836e-203,7.856673825643775e-198,3.7459480823125095,7.856673825643775e-199,0.37459480823125096,1.8360734088070283,0.5754890059399386,0.58215,-0.9966910250087393,-1.0014750000000001,-0.08025995118144423,-0.08446000000000001,6.695125718001533e-19,0.00245
552.0,1.834936953449547,1.265403421369499e-201,2.88071166116073e-196,3.7452065059311614,2.88071166116073e-197,0.3745206505931162,1.835974851695862,0.5755514233741693,0.583,-0.9966977002992281,-1.0015200000000002,-0.08017916171276675,-0.08443,-4.723326403436107e-19,0.0026049999999999997
553.0,1.8348282738620274,4.5227066256434916e-200,1.027739740286689e-194,3.744466418180028,1.027739740286689e-195,0.3744466418180028,1.8358768259820268,0.5756136510608342,0.58343,-0.9967043317808889,-1.0011999999999999,-0.08009882051661615,-0.084365,2.6609392375853905e-19,0.0024749999999999998
554.0,1.8347202054651535,1.573209789834373e-198,3.568508533068021e-193,3.7437278133870286,3.568508533068021e-194,0.3743727813387029,1.8357793275716119,0.5756756901185743,0.58353,-0.9967109198449592,-1.001335,-0.08001892421858778,-0.08441499999999999,1.0361773645935108e-20,0.001985
555.0,1.8346127435695465,5.3270977846374126e-197,1.2061672983907285e-191,3.7429906859118836,1.2061672983907285e-192,0.37429906859118833,1.8356823524099677,0.5757375416565789,0.58376,-0.9967174648782995,-1.0011800000000002,-0.07993946947610465,-0.084485,2.4409324295739866e-19,0.00205
556.0,1.8345058835311003,1.7563317858306795e-195,3.9695532630445354e-190,3.74225503014588,3.969553263044536e-191,0.374225503014588,1.8355858964812526,0.5757992067746838,0.58451,-0.9967239672634496,-1.001175,-0.07986045297805448,-0.084645,-2.905350665761449e-19,0.002435
557.0,1.8343996207504536,5.639355193209101e-194,1.272284154109096e-188,3.741520840511638,1.272284154109096e-189,0.3741520840511638,1.8354899558079805,0.5758606865634766,0.58494,-0.9967304273786886,-1.001295,-0.07978187144443513,-0.08442,7.074763575758544e-19,0.00214
558.0,1.8342939506724667,1.7638171016810586e-192,3.972182687395882e-187,3.740788111462881,3.9721826873958815e-188,0.3740788111462881,1.8353945264505822,0.5759219821043929,0.58517,-0.9967368455980902,-1.001275,-0.07970372162599804,-0.08405,1.1939096207653706e-18,0.001915
559.0,1.8341888687857073,5.374922053502402e-191,1.2082873443220688e-185,3.7400568374842034,1.2082873443220689e-186,0.3740056837484203,1.8352996045069643,0.5759830944698164,0.58541,-0.9967432222915792,-1.00118,-0.07962600030390385,-0.08413999999999999,-6.54693836766069e-19,0.002335
560.0,1.8340843706219438,1.5961647958156312e-189,3.581785426037885e-184,3.739327013090848,3.581785426037885e-185,0.3739327013090848,1.8352051861120804,0.5760440247231772,0.58565,-0.9967495578249886,-1.001335,-0.07954870428937814,-0.08404,-1.2180022184965263e-18,0.00258
