Baseline 100%T,,5%,,10%,,15%,,A,,A!,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1119,0.2181370556,1119,2.715540409,1119,2.641840458,1119,2.600240707,1119,0.145279631,1119,0.132780239,
1118,0.218221128,1118,2.674700022,1118,2.614877939,1118,2.643373251,1118,0.1451868266,1118,0.1327663958,
1117,0.2181141376,1117,2.71665597,1117,2.640330076,1117,2.620578289,1117,0.1453307122,1117,0.132997945,
1116,0.2182178348,1116,2.730633736,1116,2.696651936,1116,2.650739431,1116,0.1452516466,1116,0.132911101,
1115,0.2182452977,1115,2.700834751,1115,2.679998636,1115,2.670358658,1115,0.145321995,1115,0.1329056621,
1114,0.2182718664,1114,2.7408638,1114,2.635032177,1114,2.645225525,1114,0.1454936713,1114,0.1328870654,
1113,0.2183649391,1113,2.76311183,1113,2.647102594,1113,2.654748201,1113,0.1450322717,1113,0.1326553226,
1112,0.218077302,1112,2.724385738,1112,2.701686144,1112,2.694702148,1112,0.1454225332,1112,0.1330327243,
1111,0.2182827741,1111,2.710860968,1111,2.667141914,1111,2.656756878,1111,0.1454798132,1111,0.1329427361,
1110,0.2182720751,1110,2.716840267,1110,2.710879326,1110,2.6801548,1110,0.1453965455,1110,0.1327528059,
1109,0.2181965262,1109,2.714235783,1109,2.698545694,1109,2.734054089,1109,0.1454461515,1109,0.1332232058,
1108,0.2183244973,1108,2.781305075,1108,2.708712578,1108,2.658420801,1108,0.1453858465,1108,0.1329736114,
1107,0.2183396518,1107,2.742117882,1107,2.685263634,1107,2.631303549,1107,0.1454358399,1107,0.1329824328,
1106,0.2183421403,1106,2.762848139,1106,2.68434,1106,2.696992397,1106,0.1454126835,1106,0.1329133958,
1105,0.2183206528,1105,2.772825718,1105,2.691661596,1105,2.721031189,1105,0.1454998553,1105,0.1330538839,
1104,0.2183040529,1104,2.761247635,1104,2.706084013,1104,2.731509447,1104,0.1454799175,1104,0.1330167949,
1103,0.2183699459,1103,2.732566118,1103,2.674850225,1103,2.699146032,1103,0.145565182,1103,0.1329625398,
1102,0.2183232605,1102,2.736634731,1102,2.695929527,1102,2.687715292,1102,0.1453035027,1102,0.1331541985,
1101,0.2186351717,1101,2.776319027,1101,2.724754333,1101,2.731076956,1101,0.1453204006,1101,0.1327294707,
1100,0.2185112983,1100,2.770596743,1100,2.721087456,1100,2.714148045,1100,0.1451431811,1100,0.1327875853,
1099,0.2183560431,1099,2.755708218,1099,2.725282192,1099,2.713229895,1099,0.1454437375,1099,0.1330785751,
1098,0.2184524834,1098,2.754828453,1098,2.741334677,1098,2.695109367,1098,0.1454296261,1098,0.1328305751,
1097,0.2183761597,1097,2.725173473,1097,2.705118418,1097,2.698223114,1097,0.1455560178,1097,0.133138299,
1096,0.218636632,1096,2.73127532,1096,2.769969225,1096,2.73254776,1096,0.1452193856,1096,0.1328948587,
1095,0.2185311168,1095,2.696815968,1095,2.7606709,1095,2.732749701,1095,0.1453583091,1095,0.1328900754,
1094,0.218596682,1094,2.796825409,1094,2.704463482,1094,2.778794289,1094,0.1453184485,1094,0.1329225004,
1093,0.2186003178,1093,2.763385534,1093,2.704707146,1093,2.73045063,1093,0.1454053819,1093,0.1327691078,
1092,0.218724519,1092,2.740430593,1092,2.711781263,1092,2.758080959,1092,0.1453179717,1092,0.1327774972,
1091,0.2186868638,1091,2.759345055,1091,2.785284996,1091,2.696633101,1091,0.1454506367,1091,0.1329005957,
1090,0.2185889184,1090,2.720151424,1090,2.716888905,1090,2.724485397,1090,0.145430848,1090,0.1329536736,
1089,0.218699798,1089,2.775273323,1089,2.715828896,1089,2.741153955,1089,0.1454377621,1089,0.132994175,
1088,0.2187862843,1088,2.817572117,1088,2.740846872,1088,2.738175869,1088,0.1453241557,1088,0.1328922659,
